*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB_compactadora
*Date=21:41:24
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;115.621;-68.4202;0;Bottom;Copper Fill5
103;;;132.131;-57.0011;0;Bottom;Via15
104;;;115.621;-37.9402;0;Bottom;Copper Fill17
105;;;113.436;-31.6283;0;Bottom;Copper Fill138
106;;;113.386;-95.1283;0;Bottom;Copper Fill43
107;;;87.249;-8.8191;0;Bottom;Copper Fill70
108;;;74.0156;-89.0704;0;Bottom;Copper Fill1
109;;;73.6473;-9.7208;0;Bottom;Copper Fill161
110;;;46.7233;-75.6846;0;Bottom;Copper Fill143
111;;;104.127;-5.3774;0;Bottom;Copper Fill116
112;;;119.367;-7.1808;0;Bottom;Copper Fill111
113;;;14.3764;-62.1083;0;Bottom;Copper Fill57
114;;;60.9473;-27.4246;0;Bottom;Copper Fill63
115;;;31.3182;-11.3591;0;Bottom;Copper Fill166
116;;;46.7233;-73.9828;0;Bottom;Copper Fill144
117;;;115.621;-68.4202;0;Bottom;Copper Fill87
118;;;111.811;-18.901;0;Bottom;Via7
119;;;99.949;-84.9683;0;Bottom;Copper Fill40
120;;;118.466;-6.2791;0;Bottom;Copper Fill31
121;;;74.549;-8.8191;0;Bottom;Copper Fill164
122;;;117.678;-31.6283;0;Bottom;Copper Fill62
123;;;133.706;-6.2791;0;Bottom;Copper Fill109
124;;;8.4582;-31.6283;0;Bottom;Copper Fill167
125;;;115.621;-65.8802;0;Bottom;Copper Fill88
126;;;135.509;-49.4083;0;Bottom;Copper Fill106
127;;;115.621;-35.4002;0;Bottom;Copper Fill100
128;;THT;123.061;-8.7221;0;Bottom;Compact_button
129;;;134.607;-5.3774;0;Bottom;Copper Fill26
130;;;114.287;-94.252;0;Bottom;Copper Fill124
131;;;120.269;-6.2791;0;Bottom;Copper Fill114
132;;;46.7233;-73.9828;0;Bottom;Copper Fill66
133;;;121.295;-62.5593;0;Bottom;Via3
134;;THT;138.301;-41.7612;0;Bottom;Touch_Screen
135;;;105.029;-6.2791;0;Bottom;Copper Fill118
136;;;37.2364;-11.3591;0;Bottom;Copper Fill45
137;;;6.7564;-62.1083;0;Bottom;Copper Fill168
138;;;5.969;-39.2483;0;Bottom;Copper Fill74
139;;;115.621;-40.4802;0;Bottom;Copper Fill16
140;;;86.3473;-7.9174;0;Bottom;Copper Fill153
141;;;115.621;-70.9602;0;Bottom;Copper Fill4
142;;DIP (Dual Inline) [THT];11.4809;-62.0812;0;Bottom;RelevadorL
143;;;134.607;-48.532;0;Bottom;Copper Fill104
144;;;126.578;-32.0235;0;Bottom;Via10
145;;;38.9382;-11.3591;0;Bottom;Copper Fill128
146;;;5.0673;-38.372;0;Bottom;Copper Fill157
147;;;63.4873;-27.4246;0;Bottom;Copper Fill141
148;;;86.3473;-7.9174;0;Bottom;Copper Fill68
149;;;6.7564;-62.1083;0;Bottom;Copper Fill80
150;;;87.249;-8.8191;0;Bottom;Copper Fill155
151;;;134.607;-7.1808;0;Bottom;Copper Fill25
152;;;115.621;-58.2602;0;Bottom;Copper Fill9
153;;;136.246;-82.4283;0;Bottom;Copper Fill51
154;;;115.621;-63.3402;0;Bottom;Copper Fill7
155;;;115.621;-55.7202;0;Bottom;Copper Fill10
156;;;137.147;-81.552;0;Bottom;Copper Fill132
157;;;73.6473;-7.9174;0;Bottom;Copper Fill162
158;;;59.2836;-84.9683;0;Bottom;Copper Fill151
159;;THT;107.821;-8.7221;0;Bottom;Emergency_button
160;;;14.3764;-31.6283;0;Bottom;Copper Fill145
161;;;57.5564;-11.3591;0;Bottom;Copper Fill129
162;;;74.549;-8.8191;0;Bottom;Copper Fill84
163;;;133.706;-6.2791;0;Bottom;Copper Fill27
164;;;57.531;-84.9683;0;Bottom;Copper Fill150
165;;;121.511;-72.6774;0;Bottom;Via17
166;;;119.367;-5.3774;0;Bottom;Copper Fill112
167;;;49.9364;-11.3591;0;Bottom;Copper Fill159
168;;;46.7233;-75.6846;0;Bottom;Copper Fill65
169;;;114.287;-96.0554;0;Bottom;Copper Fill41
170;;;115.189;-95.1283;0;Bottom;Copper Fill44
171;;THT;140.841;-84.9221;0;Bottom;Door_Switch
172;;;71.1711;-87.4811;0;Bottom;Via14
173;;;135.509;-6.2791;0;Bottom;Copper Fill110
174;;;120.269;-6.2791;0;Bottom;Copper Fill32
175;;;136.246;-82.4283;0;Bottom;Copper Fill133
176;;;59.2582;-11.3591;0;Bottom;Copper Fill48
177;;;127.051;-77.3211;0;Bottom;Via20
178;;;115.621;-50.6402;0;Bottom;Copper Fill12
179;;;115.621;-58.2602;0;Bottom;Copper Fill91
180;;;104.127;-5.3774;0;Bottom;Copper Fill34
181;;;8.4582;-31.6283;0;Bottom;Copper Fill79
182;;;117.678;-31.6283;0;Bottom;Copper Fill136
183;;;98.1456;-84.9683;0;Bottom;Copper Fill121
184;;;71.2132;-50.6512;0;Bottom;Arduino MEGA
185;;;5.0673;-40.1754;0;Bottom;Copper Fill156
186;;;60.9473;-25.7228;0;Bottom;Copper Fill140
187;;;115.621;-45.5602;0;Bottom;Copper Fill14
188;;THT;71.19;-12.3711;-90;Bottom;Red_Led
189;;;59.2836;-84.9683;0;Bottom;Copper Fill61
190;;;119.367;-5.3774;0;Bottom;Copper Fill30
191;;;134.607;-48.532;0;Bottom;Copper Fill22
192;;;115.621;-35.4002;0;Bottom;Copper Fill18
193;;;114.287;-30.8028;0;Bottom;Copper Fill137
194;;;43.2311;-39.221;0;Bottom;Via12
195;;;115.621;-60.8002;0;Bottom;Copper Fill8
196;;;63.4873;-25.7228;0;Bottom;Copper Fill54
197;;;99.0473;-84.092;0;Bottom;Copper Fill120
198;;;8.4582;-62.1083;0;Bottom;Copper Fill169
199;;;5.969;-39.2483;0;Bottom;Copper Fill158
200;;;59.2582;-11.3591;0;Bottom;Copper Fill130
201;;;16.0782;-31.6283;0;Bottom;Copper Fill56
202;;;115.621;-53.1802;0;Bottom;Copper Fill93
203;;;99.0473;-84.092;0;Bottom;Copper Fill38
